,,,,"vious work,",thus biaxial,,
Table 1 Mechanical properties of the rolled sheets and extrudates,,,,,,,
Alloy,Variant,Av. grain size [μm],TYS [MPa],CYS [MPa],SD,UTS [MPa],Fracture strain [%]
AZ31,Sheet-RD,15 (1),170 (1),72 (2),2.36,254 (1),22.2 (1.5)
,Sheet-TD,,194 (1),77 (2),2.52,257 (1),22.6 (0.5)
ZE10,Sheet-RD,15 (1),157 (1),104 (2),1.51,229 (1),21.7 (0.1)
,sheet-TD,,107 (1),92 (1),1.16,216 (1),32.2 (1.6)
AZ31,Extrusion-ED,11 (1),166 (7),93 (2),1.78,261 (5),16.8 (1.5)
,Extrusion-TD,,–,90 (1),–,–,–
ZE10,Extrusion-ED,15 (1),160 (9),65 (1),2.46,229 (6),18.8 (0.8)
,Extrusion-TD,,–,57 (2),–,–,–
